上櫃股票每日收盤行情(不含定價) 
產業類別:所有證券(不含權證、牛熊證) 
資料日期:104/09/03
代號,名稱,收盤 ,漲跌,開盤 ,最高 ,最低,成交股數  , 成交金額(元), 成交筆數 ,最後買價,最後賣價,發行股數 ,次日漲停價 ,次日跌停價
"3516","亞帝歐","8.20","+ 0.05 ","8.10","8.31","8.10","269,000","2,220,820","41","8.20","8.24","74,314,650","9.02","7.38"
"3520","振維","81.50","+ 3.50 ","79.90","82.70","79.50","706,000","57,200,800","541","81.50","82.00","53,394,222","89.60","73.40"
"3521","鴻翊","9.00","- 0.37 ","9.35","9.50","8.47","109,000","977,290","77","9.00","9.35","46,730,575","9.90","8.10"
"3522","宏森","9.38","+ 0.15 ","9.23","9.56","9.19","58,000","541,870","36","9.21","9.38","47,292,000","10.30","8.45"
"3523","迎輝","28.60","+ 1.70 ","27.30","29.55","27.15","1,881,000","53,231,700","686","28.50","28.65","96,099,560","31.45","25.75"
"3526","凡甲","19.35","+ 0.85 ","18.80","19.60","18.70","144,000","2,774,350","104","19.35","19.50","66,224,384","21.25","17.45"
"3527","聚積","38.85","+ 1.25 ","38.00","38.90","38.00","67,000","2,581,800","56","38.80","38.90","32,656,398","42.70","35.00"
"3528","安馳","29.60","+ 0.60 ","29.20","29.60","29.20","110,000","3,241,600","84","29.50","29.60","56,591,102","32.55","26.65"
"3529","力旺","305.00","- 6.00 ","314.00","316.00","305.00","854,000","264,851,000","794","305.00","306.00","76,832,242","335.50","274.50"
"3531","先益","14.60","+ 0.25 ","14.40","14.65","14.40","13,000","188,500","10","14.50","14.65","61,175,011","16.05","13.15"
"3537","堡達","14.95","+ 0.05 ","14.90","15.20","14.80","98,000","1,467,350","47","14.90","14.95","48,695,220","16.40","13.50"
"3540","曜越","10.45","+ 0.45 ","10.00","10.60","10.00","120,000","1,243,150","65","10.45","10.50","66,613,044","11.45","9.41"
"3541","西柏","59.50","+ 5.40 ","55.90","59.50","55.20","739,000","43,112,800","422","59.50","0.00","44,395,170","65.40","53.60"
"3546","宇峻","24.30","+ 0.50 ","23.80","24.75","23.80","94,000","2,282,500","81","24.20","24.30","34,520,074","26.70","21.90"
"3548","兆利","19.40","+ 0.30 ","18.80","19.45","18.80","82,000","1,570,350","51","19.40","19.45","50,551,398","21.30","17.50"
"3551","世禾","33.20","+ 0.20 ","33.50","33.50","33.00","68,000","2,260,850","47","33.10","33.20","57,500,890","36.50","29.90"
"3552","同致","179.50","除息 ","185.50","188.50","178.00","2,085,000","382,974,500","1,479","179.50","180.00","84,161,144","197.00","162.00"
"3553","力積","14.35","+ 0.45 ","13.90","14.50","13.90","602,000","8,607,250","314","14.30","14.35","68,152,844","15.75","12.95"
"3555","擎泰","3.25","- 0.25 ","3.30","3.30","3.25","53,000","174,290","23","3.25","3.26","54,628,403","3.57","2.93"
"3556","禾瑞亞","53.80","+ 2.40 ","52.00","55.40","51.50","433,000","23,230,100","328","53.80","53.90","54,982,133","59.10","48.45"
"3558","神準","241.00","+ 10.00 ","231.50","248.00","231.50","650,000","157,324,000","547","241.00","242.00","48,973,881","265.00","217.00"
"3562","頂晶科"," ----","--- ","----","----","----","0","0","0","4.59","5.07","52,360,000","5.57","4.57"
"3563","牧德","37.90","+ 1.40 ","36.50","37.90","36.50","46,000","1,701,850","31","37.90","38.00","42,608,234","41.65","34.15"
"3564","其陽","54.50","+ 1.20 ","53.60","55.50","53.50","87,000","4,741,000","72","54.30","54.50","20,400,000","59.90","49.05"
"3567","逸昌","11.20","- 0.05 ","11.00","11.20","11.00","5,000","55,550","4","11.00","11.20","35,581,000","12.30","10.10"
"3570","大塚","70.50","+ 0.50 ","70.80","71.00","70.00","18,000","1,273,500","15","70.30","71.20","17,097,000","77.50","63.50"
"3577","泓格","29.35","+ 0.85 ","28.50","29.50","28.50","27,000","782,650","26","29.00","29.20","43,689,403","32.25","26.45"
"3580","友威科","5.43","+ 0.31 ","5.12","5.50","5.10","288,000","1,492,940","79","5.40","5.43","55,706,657","5.97","4.89"
"3581","博磊","14.25","+ 0.15 ","14.30","14.30","14.10","12,000","170,700","10","13.95","14.25","51,776,000","15.65","12.85"
